class_or_average,precision,recall,f1-score,support
0,0.6922837585563161,0.7701626860505365,0.7291495985580861,5778.0
1,0.7287319422150883,0.6454976303317536,0.6845941191254084,6330.0
2,0.9901506373117034,0.873573010734367,0.9282158051959808,5869.0
3,0.9969666329625885,0.9911207907522198,0.9940351171973452,5969.0
4,0.9892113095238095,0.9464317494216052,0.9673487949067758,5619.0
5,0.9263964132262282,0.9554913294797688,0.9407189604476904,5190.0
6,0.9911985018726591,0.9277826468010517,0.9584427342688999,5705.0
7,0.9911807937285644,0.9885974914481186,0.9898874571847985,6139.0
8,0.9928767123287672,0.96502751642109,0.9787540511343176,5633.0
9,0.9587490406753646,0.8788251846640872,0.9170489998164801,5686.0
A,0.9443946188340807,0.9915254237288136,0.9673863114377583,1062.0
B,0.8952513966480447,0.9891975308641975,0.9398826979472141,648.0
C,0.8249279538904899,0.6584243818286372,0.7323313079629037,1739.0
D,0.706267539756782,0.9691912708600771,0.8170995670995671,779.0
E,0.9284140969162996,0.9905992949471211,0.9584991472427515,851.0
F,0.8666077738515902,0.68125,0.7628304821150855,1440.0
G,0.6718027734976888,0.9753914988814317,0.7956204379562044,447.0
H,0.8675721561969439,0.980806142034549,0.9207207207207208,521.0
I,0.6018518518518519,0.4443359375,0.5112359550561798,2048.0
J,0.8695652173913043,0.8626198083067093,0.8660785886126704,626.0
K,0.6155234657039711,0.8926701570680629,0.7286324786324786,382.0
L,0.86438809261301,0.9679012345679012,0.9132207338380897,810.0
M,0.8509874326750448,0.6383838383838384,0.7295113505194305,1485.0
N,0.9407616361071932,0.9874167283493709,0.9635247381726255,1351.0
O,0.6968085106382979,0.3467276227141482,0.4630462724935733,4156.0
P,0.8573324485733245,0.9248389405869721,0.8898071625344353,1397.0
Q,0.7696737044145874,0.9709443099273608,0.8586723768736617,413.0
R,0.9302325581395349,0.9888751545117429,0.9586578789694428,809.0
S,0.8666386201093815,0.5872291904218928,0.7000849617672048,3508.0
T,0.9182156133828996,0.9403553299492385,0.929153605015674,1576.0
U,0.8305360043313481,0.7662337662337663,0.797090153286568,2002.0
V,0.6913425345043914,0.6922110552763819,0.6917765222849969,796.0
W,0.7837837837837838,0.8995037220843672,0.8376660889659157,806.0
X,0.5993975903614458,0.9212962962962963,0.7262773722627737,432.0
Y,0.6683070866141733,0.8508771929824561,0.7486218302094818,798.0
Z,0.3814074717636838,0.9461206896551724,0.5436532507739938,464.0
a,0.9505389980976537,0.9118004866180048,0.9307668425954673,1644.0
b,0.7728585178055823,0.9413833528722158,0.8488372093023255,853.0
c,0.2892030848329049,0.5208333333333334,0.371900826446281,432.0
d,0.9839476813317479,0.9833630421865716,0.9836552748885586,1683.0
e,0.9885771045443258,0.9728739002932552,0.980662643182658,4092.0
f,0.35148514851485146,0.71,0.47019867549668876,400.0
g,0.4839067702552719,0.7402376910016978,0.5852348993288591,589.0
h,0.9461794019933555,0.9628127112914131,0.9544235924932976,1479.0
i,0.30787589498806683,0.6042154566744731,0.4079051383399209,427.0
j,0.6377171215880894,0.8107255520504731,0.7138888888888889,317.0
k,0.842809364548495,0.5407725321888412,0.6588235294117647,466.0
l,0.36793039154754503,0.4670611439842209,0.41161133321745175,2535.0
m,0.36678614097968937,0.6616379310344828,0.4719446579554189,464.0
n,0.9729431253451132,0.928345626975764,0.9501213265031005,1898.0
o,0.09759358288770054,0.3133047210300429,0.1488277268093782,466.0
p,0.5992647058823529,0.4429347826086957,0.509375,368.0
q,0.38823529411764707,0.5881188118811881,0.46771653543307085,505.0
r,0.9837691614066727,0.9405172413793104,0.9616571176729837,2320.0
s,0.14852941176470588,0.4622425629290618,0.224819143016138,437.0
t,0.9587378640776699,0.9325463743676222,0.9454607625235083,2965.0
u,0.36706948640483383,0.504149377593361,0.42482517482517484,482.0
v,0.5097613882863341,0.5021367521367521,0.5059203444564048,468.0
w,0.7749287749287749,0.582441113490364,0.6650366748166259,467.0
x,0.8171206225680934,0.44680851063829785,0.5777166437414031,470.0
y,0.5025125628140703,0.5249343832020997,0.5134788189987163,381.0
z,0.48905109489051096,0.44567627494456763,0.46635730858468677,451.0
accuracy,0.8263026228690801,0.8263026228690801,0.8263026228690801,0.8263026228690801
macro avg,0.7354688769573274,0.7782146809801809,0.7417813503147733,116323.0
weighted avg,0.8542603301713133,0.8263026228690801,0.8327256266315007,116323.0
