true_character,predicted_character,count,true_character_count,confusion_rate,confusion_percentage
O,0,1761,4156,0.4237247353224254,42.37247353224254
1,l,1655,6330,0.26145339652448657,26.14533965244866
S,s,1090,3508,0.3107183580387685,31.07183580387685
l,1,933,2535,0.3680473372781065,36.80473372781065
O,o,817,4156,0.1965832531280077,19.65832531280077
M,m,529,1485,0.35622895622895623,35.622895622895626
C,c,528,1739,0.3036227717078781,30.36227717078781
0,o,526,5778,0.0910349601938387,9.103496019383869
0,O,525,5778,0.0908618899273105,9.08618899273105
I,1,515,2048,0.25146484375,25.146484375
2,Z,472,5869,0.08042255920940534,8.042255920940535
F,f,444,1440,0.30833333333333335,30.833333333333336
U,u,385,2002,0.19230769230769232,19.230769230769234
I,l,361,2048,0.17626953125,17.626953125
9,q,333,5686,0.05856489623637003,5.856489623637003
S,5,321,3508,0.09150513112884835,9.150513112884836
9,g,317,5686,0.05575096728807598,5.575096728807598
1,I,300,6330,0.04739336492890995,4.739336492890995
x,X,246,470,0.5234042553191489,52.34042553191489
l,I,232,2535,0.09151873767258382,9.151873767258383
I,i,230,2048,0.1123046875,11.23046875
z,Z,224,451,0.49667405764966743,49.667405764966745
6,b,219,5705,0.03838737949167397,3.838737949167397
u,U,216,482,0.44813278008298757,44.81327800829876
1,i,213,6330,0.03364928909952607,3.3649289099526065
k,K,207,466,0.44420600858369097,44.4206008583691
c,C,197,432,0.45601851851851855,45.601851851851855
v,V,195,468,0.4166666666666667,41.66666666666667
p,P,193,368,0.5244565217391305,52.44565217391305
o,0,191,466,0.40987124463519314,40.987124463519315
w,W,191,467,0.4089935760171306,40.899357601713064
V,v,187,796,0.23492462311557788,23.492462311557787
2,z,178,5869,0.030328846481513034,3.0328846481513034
s,S,176,437,0.40274599542334094,40.274599542334094
0,D,174,5778,0.030114226375908618,3.011422637590862
y,Y,157,381,0.4120734908136483,41.20734908136483
m,M,155,464,0.33405172413793105,33.4051724137931
6,G,146,5705,0.025591586327782648,2.559158632778265
5,S,122,5190,0.023506743737957612,2.350674373795761
q,9,121,505,0.2396039603960396,23.96039603960396
l,i,111,2535,0.04378698224852071,4.378698224852071
f,F,107,400,0.2675,26.75
4,Y,103,5619,0.018330663819184908,1.8330663819184907
t,T,97,2965,0.032715008431703205,3.2715008431703203
o,O,94,466,0.2017167381974249,20.171673819742487
O,D,92,4156,0.02213666987487969,2.213666987487969
Y,y,90,798,0.11278195488721804,11.278195488721805
P,p,89,1397,0.06370794559770938,6.370794559770938
W,w,72,806,0.08933002481389578,8.933002481389577
i,1,68,427,0.1592505854800937,15.92505854800937
n,N,68,1898,0.03582718651211802,3.5827186512118017
T,t,67,1576,0.04251269035532995,4.251269035532995
4,y,66,5619,0.011745862253069941,1.174586225306994
g,9,66,589,0.11205432937181664,11.205432937181664
i,I,64,427,0.14988290398126464,14.988290398126464
J,j,64,626,0.10223642172523961,10.223642172523961
5,s,63,5190,0.012138728323699421,1.2138728323699421
g,q,57,589,0.0967741935483871,9.67741935483871
8,g,50,5633,0.008876264867743653,0.8876264867743653
t,f,49,2965,0.016526138279932545,1.6526138279932545
s,5,49,437,0.11212814645308924,11.212814645308924
q,g,47,505,0.09306930693069307,9.306930693069306
4,H,47,5619,0.008364477665064958,0.8364477665064959
l,L,44,2535,0.01735700197238659,1.7357001972386588
n,h,40,1898,0.02107481559536354,2.107481559536354
8,q,39,5633,0.00692348659684005,0.692348659684005
K,k,37,382,0.0968586387434555,9.68586387434555
e,E,36,4092,0.008797653958944282,0.8797653958944283
j,J,33,317,0.10410094637223975,10.410094637223976
V,U,33,796,0.0414572864321608,4.1457286432160805
X,x,32,432,0.07407407407407407,7.4074074074074066
r,R,31,2320,0.013362068965517242,1.3362068965517242
C,e,28,1739,0.016101207590569294,1.6101207590569295
