true_character,total_true_character_count,correct_count,correct_percentage,false_count,false_percentage
o,466,146,31.330472103004293,320,68.6695278969957
O,4156,1441,34.67276227141482,2715,65.32723772858517
p,368,163,44.29347826086957,205,55.70652173913043
I,2048,910,44.43359375,1138,55.56640625
z,451,201,44.567627494456765,250,55.432372505543235
x,470,210,44.680851063829785,260,55.319148936170215
s,437,202,46.224256292906176,235,53.775743707093824
l,2535,1184,46.70611439842209,1351,53.293885601577905
v,468,235,50.21367521367522,233,49.78632478632478
u,482,243,50.4149377593361,239,49.5850622406639
c,432,225,52.083333333333336,207,47.91666666666667
y,381,200,52.493438320209975,181,47.506561679790025
k,466,252,54.077253218884124,214,45.92274678111588
w,467,272,58.2441113490364,195,41.7558886509636
S,3508,2060,58.72291904218928,1448,41.27708095781072
q,505,297,58.81188118811881,208,41.18811881188119
i,427,258,60.421545667447305,169,39.578454332552695
M,1485,948,63.83838383838384,537,36.16161616161616
1,6330,4086,64.54976303317535,2244,35.45023696682465
C,1739,1145,65.84243818286372,594,34.15756181713628
m,464,307,66.16379310344827,157,33.83620689655172
F,1440,981,68.125,459,31.874999999999996
V,796,551,69.22110552763819,245,30.778894472361806
f,400,284,71.0,116,28.999999999999996
g,589,436,74.02376910016977,153,25.97623089983022
U,2002,1534,76.62337662337663,468,23.376623376623375
0,5778,4450,77.01626860505365,1328,22.98373139494635
j,317,257,81.07255520504731,60,18.92744479495268
Y,798,679,85.08771929824562,119,14.912280701754385
J,626,540,86.26198083067092,86,13.738019169329075
2,5869,5127,87.3573010734367,742,12.642698926563298
9,5686,4997,87.88251846640873,689,12.117481533591278
K,382,341,89.26701570680629,41,10.732984293193718
W,806,725,89.95037220843672,81,10.049627791563276
a,1644,1499,91.18004866180048,145,8.819951338199514
X,432,398,92.12962962962963,34,7.87037037037037
P,1397,1292,92.48389405869722,105,7.516105941302792
6,5705,5293,92.77826468010517,412,7.221735319894829
n,1898,1762,92.83456269757639,136,7.165437302423603
t,2965,2765,93.25463743676222,200,6.745362563237774
T,1576,1482,94.03553299492386,94,5.964467005076142
r,2320,2182,94.05172413793103,138,5.948275862068965
b,853,803,94.13833528722158,50,5.861664712778429
Z,464,439,94.61206896551724,25,5.387931034482758
4,5619,5318,94.64317494216053,301,5.356825057839473
5,5190,4959,95.54913294797687,231,4.4508670520231215
h,1479,1424,96.28127112914132,55,3.7187288708586883
8,5633,5436,96.50275164210899,197,3.4972483578909994
L,810,784,96.79012345679013,26,3.2098765432098766
D,779,755,96.9191270860077,24,3.080872913992298
Q,413,401,97.09443099273608,12,2.9055690072639226
e,4092,3981,97.28739002932552,111,2.7126099706744866
G,447,436,97.53914988814317,11,2.460850111856823
H,521,511,98.0806142034549,10,1.9193857965451053
d,1683,1655,98.33630421865716,28,1.6636957813428401
N,1351,1334,98.74167283493709,17,1.2583271650629164
7,6139,6069,98.85974914481186,70,1.1402508551881414
R,809,800,98.8875154511743,9,1.1124845488257107
B,648,641,98.91975308641975,7,1.0802469135802468
E,851,843,99.05992949471211,8,0.9400705052878966
3,5969,5916,99.11207907522198,53,0.8879209247780198
A,1062,1053,99.15254237288136,9,0.847457627118644
