character,precision,recall,f1-score,support
o,0.09759358288770054,0.3133047210300429,0.1488277268093782,466.0
s,0.14852941176470588,0.4622425629290618,0.224819143016138,437.0
c,0.2892030848329049,0.5208333333333334,0.371900826446281,432.0
i,0.30787589498806683,0.6042154566744731,0.4079051383399209,427.0
l,0.36793039154754503,0.4670611439842209,0.41161133321745175,2535.0
u,0.36706948640483383,0.504149377593361,0.42482517482517484,482.0
O,0.6968085106382979,0.3467276227141482,0.4630462724935733,4156.0
z,0.48905109489051096,0.44567627494456763,0.46635730858468677,451.0
q,0.38823529411764707,0.5881188118811881,0.46771653543307085,505.0
f,0.35148514851485146,0.71,0.47019867549668876,400.0
m,0.36678614097968937,0.6616379310344828,0.4719446579554189,464.0
v,0.5097613882863341,0.5021367521367521,0.5059203444564048,468.0
p,0.5992647058823529,0.4429347826086957,0.509375,368.0
I,0.6018518518518519,0.4443359375,0.5112359550561798,2048.0
y,0.5025125628140703,0.5249343832020997,0.5134788189987163,381.0
